,input,filtered,denoised,merged,tabled,nonchim
947,50608,49990,47346,41067,41060,40893
948,124864,122377,121990,120656,120530,119738
949,25299,24857,24747,24524,23457,23428
950,42358,41520,41429,40855,40525,40488
951,135244,131663,131526,130986,130361,130194
952,41227,40633,40553,40008,39297,39215
953,51556,50546,50351,49779,48897,48895
955,89904,87175,86954,86309,84938,84859
956,41897,41019,38831,33802,33501,33054
957,86595,83997,83646,81598,80723,79347
958,41452,40950,39517,36884,36448,36436
959,60027,58805,56714,51882,51697,51447
960,217020,209285,206160,195403,194061,192455
961,46353,45761,43364,38080,38021,37991
962,69099,67343,64247,57193,56595,56276
963,46532,44754,44228,43403,43319,43295
964,28017,27590,26091,23301,23077,23069
965,35822,35163,35027,34734,31104,31088
976,55441,54214,53499,51460,51316,51089
977,19278,18851,18814,18784,18591,18591
978,66203,64414,64337,63914,63585,63552
979,50832,50252,49544,48138,47668,47614
980,30517,29755,29654,29557,29044,28955
981,57113,55194,55140,54919,54646,54568
982,42458,41728,41651,41460,41190,41186
983,76007,74899,74652,72648,70617,70595
984,82089,79760,79539,78634,70283,70260
985,42270,41522,41377,40763,37667,37656
986,22459,21935,21878,21803,21606,21596
988,57596,56486,55268,52359,52060,52055
989,22527,22243,21257,19785,19564,19564
990,54228,53415,51758,48384,48348,48200
991,132586,129570,127212,120208,119515,119348
992,73829,72970,71383,68177,67594,67530
993,30008,29328,29059,28484,27942,27941
994,173196,168447,165658,157496,156881,156244
995,66317,65570,64951,63332,62881,62135
996,38750,37903,36149,32844,32744,32744
1,78178,77058,76399,74104,74029,74023
10,58285,57400,55653,50828,50377,50330
2,83210,81459,81309,80938,80307,80307
21,76480,75002,72024,63723,63600,63318
22,109234,106698,102330,89019,88644,88548
23,114402,113039,109641,100272,99260,99105
24,45640,44989,43821,41492,40839,40779
25,159532,155908,154507,147581,146818,146583
26,73092,72277,69814,63260,61361,61255
27,52012,50661,48695,44464,44337,44297
28,216451,209600,206460,195781,195233,194879
29,70627,69397,66782,59668,59329,59312
3,56163,55316,55003,54105,50523,50505
30,113248,111576,109261,103815,103777,103299
4,63928,62685,61046,56150,56085,56066
5,231958,227184,222908,209304,208042,207263
6,64969,63680,63430,62451,61406,61354
7,122025,119269,117902,112777,112357,111868
8,119101,111222,111104,110421,107470,107194
916,43054,39422,39328,39090,37800,37745
917,44072,43444,43116,42267,40274,40248
918,59354,58463,57246,54196,53405,53302
919,144292,140773,140486,139026,137681,116270
921,32754,32087,31924,30799,24597,24597
922,36488,35759,35647,35399,34410,34410
923,91485,89276,89078,88584,87623,86838
924,69857,69294,68047,65358,64978,64723
925,31485,30520,30479,30331,30184,30109
926,32224,31726,30377,26688,26420,26244
927,114222,112769,109783,101841,100969,100749
928,60997,59874,58234,53409,53394,53354
929,54473,53692,53469,52516,52073,50167
930,31242,30652,29760,27229,27030,27030
931,101350,98870,98214,96633,94822,94777
932,53618,52664,52406,50758,43977,43952
933,89958,88673,86643,81831,74363,74317
934,108673,106670,105717,103549,103460,103400
935,27792,27526,27230,26710,26626,26626
943,56231,53613,53558,53372,53372,53260
61,56617,55522,55466,55225,53370,53332
62,31135,29941,29907,29732,29338,29338
63,72837,69625,69313,68461,66015,65921
64,38891,38033,37935,37770,36681,36665
65,32783,30683,30621,30485,29900,29900
66,89916,83540,83401,83065,81906,81774
67,34607,33593,33444,33128,30944,30915
68,55367,53813,53647,52939,50913,50843
69,145150,138711,138477,137557,132503,131935
70,78312,77032,76942,76640,74634,74364
701,59978,54928,54615,53483,51306,51286
702,33671,32857,32661,32211,31259,31189
703,9909,9752,9666,9515,9484,9484
704,85688,83091,82965,82513,82125,82100
705,26888,26257,26211,26015,26015,26015
706,26588,26006,25907,25760,25237,25237
707,48804,47357,47126,46583,46173,46173
708,45235,44276,44187,43219,38866,38835
709,30585,30072,30049,29869,28996,28981
710,62280,60972,59297,54439,54357,54276
711,60036,57927,57823,56911,56604,56315
725,48441,47441,47151,45967,39007,39007
726,82067,79449,78915,77426,70623,70485
727,37957,37457,37382,37175,36186,36141
729,54435,53214,51712,47315,47142,47103
731,55925,54757,53804,51827,51759,51750
732,45611,44633,43121,40830,40379,40357
733,64534,63550,63118,61353,61021,60850
735,150541,147753,146200,140445,140215,139790
81,81457,79997,78117,73202,73157,73155
82,139840,134867,124710,88116,87712,82930
83,65492,64739,60948,52923,52832,52691
84,48195,46451,43836,35673,35495,35482
85,46194,39980,39923,39701,39701,39696
86,55864,54917,52895,48929,48835,48710
87,43772,42708,41525,38090,37828,37745
88,175844,169502,166353,157063,155894,155806
89,25811,25013,23238,19482,19413,19413
90,25839,24931,23780,22013,21777,21777
31,71779,69384,69270,68972,68499,68398
32,50825,50089,49975,48656,47485,47182
33,51284,49900,49739,48792,43119,43067
35,16075,15217,15108,15014,13230,13230
36,19898,19614,19518,19257,18929,18929
37,115870,113460,113327,112751,110465,110178
38,113353,110442,110257,109822,108549,108325
39,59860,58953,58813,58183,55442,55360
40,92118,90873,90152,87170,86952,86858
51,237180,232402,228714,215601,214469,213789
52,82502,81602,79001,74223,74065,74048
53,112134,110384,107965,101055,100691,100368
54,307252,301357,295998,276883,270180,264389
55,80407,79177,78065,73883,73701,72985
56,86683,85406,84036,79463,79340,79069
57,78091,76401,73458,66368,66104,65539
58,89925,88961,86491,80310,80208,80164
59,41026,40078,38342,34750,34431,34407
60,99563,96148,94695,89760,88693,88441
761,23881,23441,23380,23265,22650,22614
762,43738,42535,42503,42415,42273,42193
763,51751,50098,49973,49756,49419,49408
764,51117,50602,50356,48430,48168,44588
765,57723,57077,56299,53932,53875,52960
766,48721,47467,47379,47185,47185,47164
767,149973,145617,145431,144459,143066,142481
768,33475,32951,32787,32387,32123,32024
769,101796,98522,98373,97978,97943,97378
770,67146,65739,65644,65012,64288,64109
771,106290,104051,102748,99910,99460,99406
772,50874,50100,49015,47286,46670,46568
121,37588,36808,36396,34700,34556,34524
122,56995,53044,52991,52834,52305,52290
123,32585,31929,31785,31515,27227,27206
124,41258,40373,40255,39914,37749,37674
125,94884,91547,91367,89940,88340,87691
126,49981,49288,49262,49061,47965,47965
127,28882,28272,28232,28147,27991,27979
128,75826,74204,74158,74002,73237,73184
129,26872,26516,26447,26289,25078,25050
130,23985,23067,22989,22868,22487,22401
141,152524,147119,146594,144490,142582,142021
143,36439,35773,34508,31749,31580,31580
144,32926,32321,31879,30687,30348,30348
145,120359,116653,115589,111400,110658,110575
147,46541,45865,43723,39713,39590,39583
148,24673,24118,22156,18932,18924,18924
149,65612,63859,60352,51382,51311,51293
150,16897,16647,16245,15566,15498,15475
801,49967,49104,48937,48795,47773,47714
808,44924,43971,43887,43573,43472,43311
809,80097,78110,77857,77102,76992,76684
821,33538,33034,32946,32376,29693,29652
822,37210,35898,35824,35553,35501,35363
823,95384,92069,91859,91107,84270,84097
824,70548,68655,67615,57486,35904,35866
825,27571,25492,25385,25172,23826,23826
826,58416,54708,54580,54334,54103,54081
827,8903,8760,8207,7565,7395,7348
829,29291,28657,28623,28482,27999,27999
830,60727,59073,58959,58680,58060,57605
846,30034,29496,29478,29451,29451,29451
847,61150,60094,58220,54333,54234,54231
848,76708,74719,74564,74239,73180,73170
850,10189,10056,9959,9709,9401,9401
851,35761,35350,35172,34381,28482,28482
852,110144,107926,107747,107101,106087,105954
853,43908,43416,43067,42169,42085,40887
854,23411,22898,22847,22304,21868,21868
855,73083,71703,71555,71258,71161,71080
100,49569,47467,47401,47267,46003,45990
111,78360,77423,74292,67561,67349,67348
112,62343,61155,60063,56297,56028,55246
113,145237,140389,138535,132411,132178,131850
114,42133,41659,40085,36271,36053,36010
115,108108,106568,103370,95260,94706,94505
116,59596,58284,56131,50883,50573,50563
117,54689,54106,52500,48716,48458,48441
118,69229,68003,65380,59406,58608,58561
119,116120,113673,113139,111121,110833,110619
120,56547,55863,55423,53926,53230,53209
798,106521,104792,104269,102457,102448,102403
800,76435,75659,74651,71327,70242,70206
820,74851,73937,73818,72533,71460,71115
883,22880,22411,22202,21779,20565,20561
884,45133,44286,44054,43314,32689,32682
885,104406,101549,101419,100914,97088,96805
886,38676,38077,38058,37954,37897,37842
887,30477,29780,29630,29378,26707,26707
888,90395,88491,88405,88114,87357,87326
889,62919,62178,61661,58938,57844,56442
890,63614,62533,62380,61612,60538,60458
906,160512,157378,153844,140828,138542,137956
907,83162,82228,80478,75709,73465,72635
908,59769,58914,58124,55585,54908,54783
909,150629,147478,146166,141250,136994,136977
91,121259,114719,114581,113917,112654,112389
910,40141,39688,36542,28441,26752,26146
912,91390,89929,88704,85532,82669,82591
913,104248,101915,101593,100977,100844,100789
914,77879,77017,76585,75859,75765,75765
915,47584,46592,46447,46255,46203,46094
92,30801,30310,30195,29579,29224,29151
93,62894,61631,60344,58200,57265,57235
94,136664,132113,132016,131742,131035,130990
95,47854,47202,47109,46961,45591,45581
96,52976,51661,51125,50890,50190,50160
97,65594,63139,63049,62896,62416,62393
98,28067,27518,27450,27365,25984,25882
99,140509,137584,137311,135103,134134,133727
1037,37292,36186,36140,36044,34077,34077
1038,96876,92360,92192,91967,90556,90078
1039,30533,29812,29776,29743,28534,28528
1040,36572,35507,35416,35370,32884,32884
1041,126788,121249,121014,120308,106925,106916
1042,46699,45707,45605,44637,40381,40340
1043,39350,38209,38156,38080,37877,37853
1044,33220,31868,31839,31795,31446,31446
1045,52534,51412,51358,50125,44266,44236
1046,48539,46583,46509,46368,43449,43274
1047,49988,48707,46073,38644,38457,38325
1048,48247,47548,46287,43931,42746,42738
1049,26829,26237,24667,21767,21647,21647
1050,51197,49339,47765,43412,43180,43161
1051,32213,31526,30805,29355,27070,27058
1052,27857,27458,26557,24914,24803,24798
1053,53463,52070,50868,47297,47158,47036
1054,27798,27225,26815,25328,25053,25035
1055,20294,19968,18718,16135,16018,16014
1056,50659,49508,49161,47347,47012,46991
1007,55862,53048,52926,52790,51954,51954
1008,39384,38532,38460,38337,35158,35158
1009,33029,32133,31957,31574,30157,30157
1010,81975,79332,79049,78397,76737,76682
1011,42813,42353,41636,40229,39300,39240
1012,26967,25679,25640,25567,25167,25158
1013,67261,62568,62510,62393,61345,61345
1014,41984,41137,41045,40835,40029,40027
1015,29801,28872,28796,28721,27514,27514
1016,76121,72759,72511,70840,65359,65041
1017,45459,44647,44108,41607,35131,35131
1018,32822,31568,31278,30570,28729,28687
1019,71644,68229,67541,64828,62380,62380
1020,29950,29330,28664,27527,25349,25349
1021,78838,77431,76404,73410,72950,71822
1022,109885,106153,105905,105378,97265,97077
1023,74997,73816,73307,70906,66269,66182
1024,51648,50556,50269,47598,43526,43494
1025,69887,67882,66756,63146,62534,62532
1026,38223,37748,36405,34318,32131,32131
