Sids,,,,
INSHORE,OFFSHORE,,INSHORE,OFFSHORE
Pre,Pre,,Pre,Pre
Flavobacteriaceae,Burkholderiaceae,,Bdellovibrionaceae,Burkholderiaceae
Kiloniellaceae,Clade I,,Kordiimonadaceae,Defluviicoccaceae
Phycisphaeraceae,Cyanobiaceae,,Pirellulaceae,Kiloniellaceae
Phycisphaeraceae,Flavobacteriaceae,,Rhizobiaceae,Phycisphaeraceae
Xanthobacteraceae,Flavobacteriaceae,,Woeseiaceae,Vibrionaceae
,,,,
Irma,Irma,,Irma,Irma
Burkholderiaceae,Burkholderiaceae,,Burkholderiaceae,Defluviicoccaceae
Flavobacteriaceae,Flavobacteriaceae,,Clade I,Vibrionaceae
Pirellulaceae,Phycisphaeraceae,,Defluviicoccaceae,Woeseiaceae
Xanthobacteraceae,Xanthobacteraceae,,Kiloniellaceae,Xanthobacteraceae
Xanthobacteraceae,Xanthobacteraceae,,Xanthobacteraceae,Xanthobacteraceae
,,,,
Post,,,Post,Post
Phycisphaeraceae,Kiloniellaceae,,Clade I,Cyclobacteriaceae
Pirellulaceae,Phycisphaeraceae,,Cyanobiaceae,Desulfovibrionaceae
Tenderiaceae,Pirellulaceae,,Kordiimonadaceae,Kiloniellaceae
Thermoanaerobaculaceae,Rhizobiaceae,,Pirellulaceae,Rhodobacteraceae
Xanthobacteraceae,Woeseiaceae,,Xanthobacteraceae,Spirochaetaceae
,,,,
Summary,,,,
Xantho very important inshore always,Xantho important offshore during Irma,,,
"2 uniques in inshore Irma = Thermoanaerob, Tenderiaceae",,,,
Phycis Pre & Post,,,,