ITS2_type_profile_UID,Clade,Majority_ITS2_collapsed,Majority_ITS2_sequence_bray,Majority_ITS2_sequence,ITS2_type_profile
id_172756,A,A3,A3,A3,A3-A3at
id_173086,A,A3,A3,A3,A3
id_173121,A,A4z,A4z,A4z,A4z
id_173080,A,A4,A4,A4,A4
id_173251,B,B5-1*,B5-3*,B5/B5p/B5a/B5ae,B5/B5p/B5a/B5ae-B5m-B5bu
id_173233,B,B5-1*,B5-3*,B5a/B5/B5p/B5ae,B5a/B5/B5p/B5ae-B5m
id_173246,B,B5-1*,B5-3*,B5p/B5,B5p/B5-B5a-B5bk
id_173176,B,B5-2*,B5-4*,B5,B5-B5b-B5a-B5c-B5d-B5g-B5f-B5l-B5e
id_173179,B,B5-2*,B5-4*,B5,B5-B5a-B5d-B5ae-B5v
id_173237,B,B5/B19,B5-3*,B5/B19/B5p,B5/B19/B5p-B5a-B5bn-B5bk-B19ac
id_173236,B,B5-1*,B5-4*,B5,B5-B5a-B19-B5bl-B5bm
id_173239,B,B5-1*,B5-4*,B5,B5-B5a-B5bm-B5bl
id_173183,B,B5-2*,B5-4*,B5,B5-B5d-B5a-B5b-B5i-B5c
id_173245,B,B5/B19,B5-3*,B5/B19,B5/B19-B5p-B5bn-B5bk-B19ac-B5bq
id_173247,B,B5-1*,B5-4*,B5/B5br,B5/B5br-B5a
id_173238,B,B5-1*,B5-3*,B5,B5-B5a-B5p-B5bk-B5bn-B19
id_173249,B,B5-1*,B5a*,B5/B5ao/B7b,B5/B5ao/B7b-B5bt-B7c-B5bs
id_173243,B,B5-2*,B5-4*,B5a/B5/B5j,B5a/B5/B5j-B5bo-B5bp
id_173270,B,B19,B19,B19/B1,B19/B1
id_173240,B,B5-1*,B5-3*,B5/B5a,B5/B5a-B5p-B5bn-B5bk
id_173250,B,B5-1*,B5a*,B5/B5ao/B7b,B5/B5ao/B7b-B5ap
id_173252,B,B5-1*,B5-4*,B5,B5-B5br-B5k-B5a-B5bv-B5bw
id_173255,B,B5-2*,B5-4*,B5/B5a,B5/B5a-B5j-B5b-B5bx-B5by
id_173256,B,B5-2*,B5-4*,B5a/B5/B5n,B5/B5a/B5n-B5ca-B5bz
id_173314,B,B5-1*,B5a*,B5ao,B5ao
id_173189,B,B5-2*,B5-4*,B5,B5-B5a-B5b-B5f-B5e-B5d-B5c
id_173234,B,B5-1*,B5-3*,B5p,B5p-B5-B5a-B5bh-B5bj-B5bi-B5bk
id_173244,B,B5-1*,B5-3*,B5,B5-B5p-B5bn-B5bk-B5bq
id_173248,B,B5-2*,B5-4*,B5,B5-B5f-B5a-B5b-B5g
id_173279,B,B5-1*,B5-4*,B5,B5
id_173185,B,B5-2*,B5-4*,B5,B5-B5b-B5a-B5k-B5j
id_173192,B,B5-1*,B5-4*,B5,B5-B5ae-B5d-B5a
id_175268,B,B5-1*,B5a*,B5ae,B5ae
id_173241,B,B5-1*,B5-3*,B5a/B5p/B5,B5a/B5p/B5-B5m
id_173275,B,B5-1*,B5a*,B1,B1
id_173315,B,B5-1*,B5a*,B7b,B7b
id_173242,B,B5/B19,B5-3*,B5/B19,B5/B19-B5p-B19ac-B5bn-B5bk
id_173271,B,B5-1*,B5-4*,B5a/B5,B5a/B5
id_173287,B,B19,B19,B19,B19
id_173184,B,B19,B19,B19,B19a/B5/B19
id_173186,B,B5-2*,B5-4*,B5,B5-B5a-B5b-B5d
id_173188,B,B5-2*,B5-4*,B5,B5-B5c-B5a-B5e-B5h-B5b
id_173190,B,B5-1*,B5-4*,B5,B5-B5e-B5g-B5a-B5c
id_173253,B,B5-2*,B5-4*,B5,B5-B5a-B5d-B5f-B5b-B5c-B5l
id_173264,B,B5-1*,B5-3*,B5cb,B5p/B5cb-B5a-B5
id_173265,B,B5-2*,B5-4*,B5,B5-B5n-B5a-B5ca
id_173273,B,B5-1*,B5-4*,B5,B5-B5ay
id_173281,B,B5-1*,B5a*,B5c,B5c
id_173288,B,B5m,B5a*,B5m,B5m
id_173297,B,B5-1*,B5a*,B5ai,B5ai
id_173180,B,B5-2*,B5-4*,B5,B5-B5a-B5k-B5b
id_173182,B,B5-2*,B5-4*,B5,B5-B5b
id_174524,C,C46,C46,C46,C46-C42.2
id_174523,C,C46,C46,C46,C46-C46b-C46c
id_174525,C,C1,C1,C1,C1-C1c-C1mi-C1mh
id_174087,C,C1,C1,C1,C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3
id_174047,C,C1,C1,C1,C1/C3-C1c-C1b-C1w
id_173445,C,C3,C3,C3,C3-C1-C3y-C6a
id_173577,C,C1,C1,C1,C1/C1c-C1b-C72k-C42.2
id_173832,C,C66,C66,C66,C66-C66e
id_174733,C,C46,C46,C46,C46
id_174226,C,C3,C3,C3,C21/C3
id_173436,C,C1,C1,C1,C1-C1c-C72k-C1b
id_174873,C,C20,C20,C20,C20
id_173377,C,C3,C3,C3,C3-C3y-C6a
id_173394,C,C1,C1,C1,C1/C3-C1c
id_174715,C,C66,C66,C66,C66
id_174211,C,C1,C1,C1,C1/C3-C1c-C1b-C42.2-C1bh-C1br
id_173755,C,C66,C66,C66,C66/C1-C1c
id_174691,C,C1,C1,C1,C1
id_173413,C,C1,C1,C1,C1/C3/C1c-C1b
id_174013,C,C1,C1,C1,C1/C1c-C1al-C1b-C42.2
id_174891,D,D1,D1,D1,D1-D4-D4c-D1c-D2-D1k
id_175118,D,D1,D1,D1,D1-D4-D4c-D1az-D1hc-D1c
id_174895,D,D1,D1,D1,D1-D4-D4c-D1c-D2